date,cash,holdings_value,total_value,NVDA_shares
2023-05-31,6038.432205200197,7869.471923828125,13907.904129028322,208.0
2023-06-01,6038.432205200197,8272.160095214844,14310.59230041504,208.0
2023-06-02,6038.432205200197,8180.015930175781,14218.448135375978,208.0
2023-06-05,6038.432205200197,8147.568298339844,14186.00050354004,208.0
2023-06-06,6038.432205200197,8040.0318603515625,14078.46406555176,208.0
2023-06-07,6038.432205200197,7794.799682617186,13833.231887817383,208.0
2023-06-08,6038.432205200197,8010.079650878906,14048.511856079103,208.0
2023-06-09,6038.432205200197,8064.160095214844,14102.59230041504,208.0
2023-06-12,6038.432205200197,8212.255676269533,14250.68788146973,208.0
2023-06-13,6038.432205200197,8532.575866699219,14571.008071899416,208.0
2023-06-14,6038.432205200197,8943.376342773438,14981.808547973635,208.0
2023-06-15,6038.432205200197,8871.823974609375,14910.256179809572,208.0
2023-06-16,6038.432205200197,8879.936279296875,14918.368484497072,208.0
2023-06-20,6038.432205200197,9112.063720703125,15150.495925903322,208.0
2023-06-21,6038.432205200197,8953.359619140625,14991.791824340822,208.0
2023-06-22,6038.432205200197,8949.200317382812,14987.63252258301,208.0
2023-06-23,6038.432205200197,8779.471923828125,14817.904129028322,208.0
2023-06-26,6038.432205200197,8451.455993652344,14489.88819885254,208.0
2023-06-27,6038.432205200197,8710.20788574219,14748.640090942386,208.0
2023-06-28,6038.432205200197,8552.336120605469,14590.768325805666,208.0
2023-06-29,6038.432205200197,8490.975708007812,14529.40791320801,208.0
2023-06-30,6038.432205200197,8798.815612792967,14837.247817993164,208.0
2023-07-03,6038.432205200197,8821.903625488281,14860.335830688478,208.0
2023-07-05,6038.432205200197,8801.936279296875,14840.368484497072,208.0
2023-07-06,6038.432205200197,8757.424133300781,14795.856338500978,208.0
2023-07-07,6038.432205200197,8840.623657226562,14879.05586242676,208.0
2023-07-10,6038.432205200197,8773.440063476562,14811.87226867676,208.0
2023-07-11,6038.432205200197,8820.239746093752,14858.671951293949,208.0
2023-07-12,6038.432205200197,9131.616088867188,15170.048294067385,208.0
2023-07-13,6038.432205200197,9563.216247558594,15601.64845275879,208.0
2023-07-14,6038.432205200197,9457.552368164062,15495.98457336426,208.0
2023-07-17,6038.432205200197,9663.8876953125,15702.319900512697,208.0
2023-07-18,6038.432205200197,9878.751892089844,15917.18409729004,208.0
2023-07-19,6038.432205200197,9792.015930175781,15830.448135375978,208.0
2023-07-20,6038.432205200197,9468.160095214844,15506.59230041504,208.0
2023-07-21,6038.432205200197,9216.271606445314,15254.703811645511,208.0
2023-07-24,6038.432205200197,9279.2958984375,15317.728103637697,208.0
2023-07-25,6038.432205200197,9501.232177734375,15539.664382934572,208.0
2023-07-26,6038.432205200197,9454.015930175781,15492.448135375978,208.0
2023-07-27,6038.432205200197,9547.200317382812,15585.63252258301,208.0
2023-07-28,6038.432205200197,9724.0,15762.432205200197,208.0
2023-07-31,6038.432205200197,9719.632019042969,15758.064224243166,208.0
2023-08-01,6038.432205200197,9673.455993652344,15711.88819885254,208.0
2023-08-02,6038.432205200197,9207.952209472656,15246.384414672853,208.0
2023-08-03,6038.432205200197,9259.119873046875,15297.552078247072,208.0
2023-08-04,6038.432205200197,9293.440063476562,15331.87226867676,208.0
2023-08-07,15485.16816711426,0.0,15485.16816711426,0.0
2023-08-08,15485.16816711426,0.0,15485.16816711426,0.0
